pl_name,pl_letter,pl_rade,pl_masse,pl_dens,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_spectype,disc_year,discoverymethod,disc_facility,tran_flag,ra,dec,planet_size_class,discovery_era,habitable_candidate
HAT-P-11 b,b,4.84,,,4.887802706,801.0,97.1,4777.0,0.765,0.829,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HD 63433 c,c,2.57342831,,,20.54381533218,621.93,35.3582,5694.11,0.902932,,,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),1,117.4793699,27.3631342,Neptune-like,2016+,False
WASP-62 b,b,15.02006,184.3414,0.32,4.41194,1475.3,,6230.0,1.29,1.28,,2012,Transit,SuperWASP,1,87.1398205,-63.9883286,Gas Giant,2010–2015,False
NGTS-10 b,b,13.506845,687.14846,1.43,0.7668944,1332.0,,4600.0,0.697,0.696,K5 V,2020,Transit,Next-Generation Transit Survey (NGTS),1,91.8722801,-25.5948963,Gas Giant,2016+,False
GJ 3470 b,b,3.88,12.58,0.93,3.336649,615.0,,3652.0,0.48,0.51,M1.5,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
HIP 67522 b,b,10.07,,,6.959503,1174.0,,5675.0,1.38,1.22,,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),1,207.526001,-40.8358961,Gas Giant,2016+,False
K2-25 b,b,3.44,24.5,,3.48456408,494.0,9.91,3207.0,0.2932,0.2634,M4.5 V,2015,Transit,K2,1,63.2739346,15.2477027,Neptune-like,2010–2015,False
WASP-96 b,b,14.37529211,,,3.42525631341,1233.15,546.4855,5540.0,1.11655,,,2014,Transit,SuperWASP,1,1.0465696,-47.3606352,Gas Giant,2010–2015,False
TOI-283 b,b,2.01411,,,17.6174652,610.0,23.0207,5250.0,0.81,,,2025,Transit,Transiting Exoplanet Survey Satellite (TESS),1,118.5693065,-65.441482,Neptune-like,2016+,False
HAT-P-1 b,b,14.5331,,,4.4652986,1118.0,259.687,6051.2,1.18,,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
WASP-17 b,b,21.2315,,,3.7354838,1670.0,1292.19,6650.0,1.57,,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
KELT-7 b,b,17.805,,,2.7347651,1808.0,1775.39,6767.9,1.77,,,2015,Transit,KELT,1,78.2955912,33.3179532,Gas Giant,2010–2015,False
GJ 3470 b,b,4.13050781,,,3.33665106329,595.19,29.6584,3552.0,0.499698,,,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
HAT-P-11 b,b,5.29152,,,4.8878037,810.0,71.6805,4757.3,0.76,,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HD 17156 b,b,12.3299,1115.5833,,21.21663,,,6040.0,1.55,1.41,,2007,Radial Velocity,Subaru Telescope,1,42.4366123,71.7530882,Gas Giant,Pre-2010,False
HD 95338 b,b,4.27174254,,,55.082694,,,5097.0,0.868,0.848,,2020,Radial Velocity,Las Campanas Observatory,1,164.8563364,-56.6235564,Neptune-like,2016+,False
HD 17156 b,b,11.937585,1036.76146,3.35,21.216398,883.0,,6079.0,1.487,1.297,,2007,Radial Velocity,Subaru Telescope,1,42.4366123,71.7530882,Gas Giant,Pre-2010,False
HD 3167 b,b,1.574,5.69,8.0,0.959632,1759.0,,5286.0,0.835,0.877,,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
