pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
Kepler-197 c,1.23,10.35,2,4,2014
Kepler-769 b,2.92,7.42608998,1,2,2016
Kepler-191 c,2.11,17.73852054,1,3,2014
Kepler-1487 c,8.95899963,35.79949951,1,2,2023
WASP-177 b,12.00549486,3.07171816382,1,1,2019
Kepler-5 b,15.45,3.548465405,1,1,2009
Kepler-325 c,2.792,,1,3,2014
Kepler-474 b,3.8,5.660672935,1,1,2016
Kepler-226 d,1.3,8.10904807,1,3,2014
Kepler-947 b,2.4,26.9644317,1,1,2016
Kepler-174 c,1.783,44.0004287,1,3,2014
Kepler-913 b,2.06,10.29672521,1,2,2016
Kepler-957 b,6.256,,1,1,2016
Kepler-1035 b,1.0,2.714077555,1,1,2016
Kepler-15 b,10.77,4.942783399,1,1,2011
Kepler-1091 b,1.09,1.434741564,1,1,2016
K2-104 b,1.79,1.9741954,1,1,2016
Kepler-235 b,2.11,3.34022436,1,4,2014
Kepler-65 d,1.607,,1,4,2012
EPIC 220554210 c,1.48,0.70531,1,2,2019
K2-97 b,8.04276104,8.405276,1,1,2016
Kepler-387 c,1.0,11.8376933,1,2,2014
Kepler-1092 b,2.07,58.6017925,1,1,2016
Kepler-33 f,4.46,41.02902,1,5,2011
Kepler-215 d,2.45,30.86437869,1,4,2014
Kepler-1263 b,1.14,4.55139967,1,1,2016
Kepler-1556 b,2.06,8.82713457,1,1,2016
Kepler-1192 b,2.57,25.2034787,1,1,2016
K2-346 b,2.08,26.1956,1,1,2021
Kepler-795 b,1.76,29.6193421,2,1,2016
WASP-197 b,14.3194419,5.16655485276,1,1,2025
Kepler-1461 b,1.96,29.3494775,1,1,2016
K2-208 b,1.67866113,4.190948,1,1,2018
Kepler-858 b,5.26,76.13354,1,1,2016
Kepler-1641 b,3.92,19.672266,1,2,2016
Kepler-1502 b,2.11,41.7083629,1,1,2016
Kepler-446 d,1.14,,1,3,2015
Kepler-137 b,1.614,,1,2,2014
Kepler-42 d,0.773,,1,3,2011
L 98-59 c,1.35,3.690621,1,5,2019
HATS-31 b,18.38276,3.37796,1,1,2016
Kepler-288 b,1.558,,1,3,2014
